"已完成选卡数 \ 波次",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,                      1,1,1,2,2,3,3,3,4,10,5,5,5,6,6,7,7,7,8,20
"1 rounds / 2 flags",9,9,9,10,10,11,11,11,12,30,13,13,13,14,14,15,15,15,16,40
"2 rounds / 4 flags",17,17,17,18,18,19,19,19,20,50,21,21,21,22,22,23,23,23,24,60
"3 rounds / 6 flags",25,25,25,26,26,27,27,27,28,70,29,29,29,30,30,31,31,31,32,80
"4 rounds / 8 flags",33,33,33,34,34,35,35,35,36,90,37,37,37,38,38,39,39,39,40,100
"5 rounds / 10 flags",41,41,41,42,42,43,43,43,44,110,45,45,45,46,46,47,47,47,48,120
"6 rounds / 12 flags",49,49,49,50,50,51,51,51,52,130,53,53,53,54,54,55,55,55,56,140
"7 rounds / 14 flags",57,57,57,58,58,59,59,59,60,150,61,61,61,62,62,63,63,63,64,160
"8 rounds / 16 flags",65,65,65,66,66,67,67,67,68,170,69,69,69,70,70,71,71,71,72,180
"9 rounds / 18 flags",73,73,73,74,74,75,75,75,76,190,77,77,77,78,78,79,79,79,80,200
"10 rounds / 20 flags",81,81,81,82,82,83,83,83,84,210,85,85,85,86,86,87,87,87,88,220
"20 rounds / 40 flags",161,161,161,162,162,163,163,163,164,410,165,165,165,166,166,167,167,167,168,420
"30 rounds / 60 flags",241,241,241,242,242,243,243,243,244,610,245,245,245,246,246,247,247,247,248,620
"40 rounds / 80 flags",321,321,321,322,322,323,323,323,324,810,325,325,325,326,326,327,327,327,328,820
"50 rounds / 100 flags",401,401,401,402,402,403,403,403,404,1010,405,405,405,406,406,407,407,407,408,1020
"60 rounds / 120 flags",481,481,481,482,482,483,483,483,484,1210,485,485,485,486,486,487,487,487,488,1220
"61 rounds / 122 flags",489,489,489,490,490,491,491,491,492,1230,493,493,493,494,494,495,495,495,496,1240
"62 rounds / 124 flags",497,497,497,498,498,499,499,499,500,1250,501,501,501,502,502,503,503,503,504,1260
